Reporting org id,Reporting org name,Reporting org type,Provider org id,Provider org name,Provider org type,Receiver org id,Receiver org name,Receiver org type,Humanitarian?,Strict?,Transaction direction,Total money,Notes
do-1,3M,70,,,,ro-201,AKUT Search and Rescue Association,,1,1,outgoing,60000,Donation of protective items.
do-1,3M,70,,,,ro-202,Ministry of Health of the Republic of Türkiye [government],,1,1,outgoing,100000,Donation of a medical device.
do-520,Coloplast A/S,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,71713,"CHF 33,000 for Syria response."
do-521,Freshfields Service Company,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,3180,CHF 987 for Syria response.
do-522,Heubach Colorants Germany GMBH,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,1309,"CHF 1,200 for Syria response."
do-231,KPMG LLP,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,6546,"CHF 6,000 for Syria response."
do-278,Nike Foundation,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,765362,"CHF 231,849 for Syria response."
do-281,Novartis AG,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,545458,"CHF 250,000 for Syria response."
do-7,Accenture,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,587530,"CHF 538,621 for Turkiye response."
do-63,Bloomberg L.P.,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,85000,"CHF 77,924 for Turkiye response."
do-115,Danone S.A.,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,541045,"CHF 496,006 for Turkiye response."
do-304,Procter & Gamble,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,229210,"CHF 210,130 for Turkiye response."
